Year,Location,Bedrooms,Property_type,Rent
2010,"Ranelagh, Dublin 6",All bedrooms,All property types,1081.66
2010,"Rathgar, Dublin 6",All bedrooms,All property types,959.78
2010,"Rathmines, Dublin 6",All bedrooms,All property types,870.83
2010,"Terenure, Dublin 6",All bedrooms,All property types,1079.86
2010,Dublin 6W,All bedrooms,All property types,1120.37
2010,"Harolds Cross, Dublin 6W",All bedrooms,All property types,1058.22
2010,"Templeogue, Dublin 6W",All bedrooms,All property types,1188.78
2010,"Terenure, Dublin 6W",All bedrooms,All property types,1197.78
2010,Dublin 7,All bedrooms,All property types,908.21
2010,"Arbour Hill, Dublin 7",All bedrooms,All property types,1085.51
2010,"Cabra, Dublin 7",All bedrooms,All property types,894.86
2010,"Navan Road, Dublin 7",All bedrooms,All property types,1042.44
2010,"North Circular Road, Dublin 7",All bedrooms,All property types,979.35
2010,"Phibsboro, Dublin 7",All bedrooms,All property types,818.79
2010,"Smithfield, Dublin 7",All bedrooms,All property types,1089.5
2010,"Stoneybatter, Dublin 7",All bedrooms,All property types,968.09
2010,Dublin 8,All bedrooms,All property types,939.11
2010,"Christchurch, Dublin 8",All bedrooms,All property types,935.22
2010,"Cork Street, Dublin 8",All bedrooms,All property types,992.75
2010,"Dolphins Barn, Dublin 8",All bedrooms,All property types,965.58
2010,"Inchicore, Dublin 8",All bedrooms,All property types,966.37
2010,"Islandbridge, Dublin 8",All bedrooms,All property types,964.76
2010,"Kilmainham , Dublin 8",All bedrooms,All property types,1005.61
2010,"Portobello, Dublin 8",All bedrooms,All property types,894.91
2010,"Rialto, Dublin 8",All bedrooms,All property types,902.7
2010,"South Circular Road, Dublin 8",All bedrooms,All property types,941.56
2010,"The Coombe, Dublin 8",All bedrooms,All property types,932.2
2010,Dublin 9,All bedrooms,All property types,982.39
2010,"Ballymun, Dublin 9",All bedrooms,All property types,803.55
2010,"Beaumont, Dublin 9",All bedrooms,All property types,988.28
2010,"Drumcondra, Dublin 9",All bedrooms,All property types,998.53
2010,"Glasnevin, Dublin 9",All bedrooms,All property types,1000.94
2010,"Santry, Dublin 9",All bedrooms,All property types,974.35
2010,"Whitehall, Dublin 9",All bedrooms,All property types,977.3
2010,Dublin 10,All bedrooms,All property types,925.73
2010,"Ballyfermot, Dublin 10",All bedrooms,All property types,945.3
2010,"Cherry Orchard, Dublin 10",All bedrooms,All property types,860.03
2010,Dublin 11,All bedrooms,All property types,942.34
2010,"Ballymun, Dublin 11",All bedrooms,All property types,804.45
2010,"Finglas, Dublin 11",All bedrooms,All property types,948.47
2010,"Glasnevin, Dublin 11",All bedrooms,All property types,1030.48
2010,"Meakstown, Dublin 11",All bedrooms,All property types,1015.63
2010,"St Margarets Road, Dublin 11",All bedrooms,All property types,980.48
2010,Dublin 12,All bedrooms,All property types,1003.17
2010,"Crumlin, Dublin 12",All bedrooms,All property types,966.4
2010,"Drimnagh, Dublin 12",All bedrooms,All property types,1036.83
2010,"Kimmage, Dublin 12",All bedrooms,All property types,992.3
2010,"Walkinstown, Dublin 12",All bedrooms,All property types,1074.8
