Year,Location,Bedrooms,Property_type,Rent,District
2008,"Kinsealy, Dublin",Three bed,Semi detached house,1268.0,D17
2008,"Lucan, Dublin",Three bed,Semi detached house,1234.93,D20
2008,"Lusk, Dublin",Three bed,Semi detached house,1154.27,D1
2008,"Malahide, Dublin",Three bed,Semi detached house,1500.12,D17
2008,"Rush, Dublin",Three bed,Semi detached house,1142.94,D1
2008,"Shankill, Dublin",Three bed,Semi detached house,1432.35,D18
2008,"Skerries, Dublin",Three bed,Semi detached house,1157.62,D1
2008,"Stillorgan, Dublin",Three bed,Semi detached house,1640.47,D18
2008,"Swords, Dublin",Three bed,Semi detached house,1261.32,D17
2008,Dublin 1,Three bed,Semi detached house,1332.76,D1
2008,Dublin 3,Three bed,Semi detached house,1565.63,D3
2008,"Clontarf, Dublin 3",Three bed,Semi detached house,1650.96,D3
2008,"Drumcondra, Dublin 3",Three bed,Semi detached house,1429.39,D3
2008,Dublin 4,Three bed,Semi detached house,2166.61,D4
2008,"Ballsbridge, Dublin 4",Three bed,Semi detached house,2215.19,D4
2008,"Sandymount, Dublin 4",Three bed,Semi detached house,2280.71,D4
2008,Dublin 5,Three bed,Semi detached house,1356.77,D5
2008,"Artane, Dublin 5",Three bed,Semi detached house,1345.29,D5
2008,"Raheny, Dublin 5",Three bed,Semi detached house,1379.45,D5
2008,Dublin 6,Three bed,Semi detached house,1815.09,D6
2008,"Harolds Cross, Dublin 6",Three bed,Semi detached house,1628.82,D6
2008,"Ranelagh, Dublin 6",Three bed,Semi detached house,2035.71,D6
2008,"Rathgar, Dublin 6",Three bed,Semi detached house,1788.64,D6
2008,"Rathmines, Dublin 6",Three bed,Semi detached house,1811.24,D6
2008,Dublin 6W,Three bed,Semi detached house,1552.43,D6W
2008,"Templeogue, Dublin 6W",Three bed,Semi detached house,1381.32,D6W
2008,"Terenure, Dublin 6W",Three bed,Semi detached house,1595.0,D6W
2008,Dublin 7,Three bed,Semi detached house,1414.4,D7
2008,"Navan Road, Dublin 7",Three bed,Semi detached house,1371.78,D7
2008,Dublin 8,Three bed,Semi detached house,1545.75,D8
2008,Dublin 9,Three bed,Semi detached house,1369.22,D9
2008,"Beaumont, Dublin 9",Three bed,Semi detached house,1316.8,D9
2008,"Drumcondra, Dublin 9",Three bed,Semi detached house,1438.84,D9
2008,"Glasnevin, Dublin 9",Three bed,Semi detached house,1443.49,D9
2008,"Santry, Dublin 9",Three bed,Semi detached house,1311.31,D9
2008,"Whitehall, Dublin 9",Three bed,Semi detached house,1366.21,D9
2008,Dublin 11,Three bed,Semi detached house,1297.17,D11
2008,"Finglas, Dublin 11",Three bed,Semi detached house,1216.49,D11
2008,"Glasnevin, Dublin 11",Three bed,Semi detached house,1453.78,D11
2008,Dublin 12,Three bed,Semi detached house,1336.68,D12
